iso3,year,country,pm25,total_emissions_kt_unfccc,ln_pm25,ln_total_unfccc
LTU,2016,Lithuania,11.041666666666666,177905.84523,2.4016759956382767,12.089009729943832
LTU,2017,Lithuania,11.74,185970.09686,2.4630018143999504,12.133341170200634
LTU,2018,Lithuania,13.672,194991.72102,2.6153499458132896,12.180712380336898
LTU,2019,Lithuania,13.163999999999998,194333.47384,2.5774858310810935,12.177330899683126
LUX,2010,Luxembourg,14.073333333333332,155917.29378,2.6442817537520646,11.957080977565964
LUX,2013,Luxembourg,15.933333333333332,141941.62274,2.7684133508293005,11.863171144590767
LUX,2014,Luxembourg,11.736666666666666,136396.04824,2.4627178444988513,11.8233180521243
LUX,2015,Luxembourg,11.583333333333334,131005.04845999999,2.4495672833426916,11.78299113930332
LUX,2016,Luxembourg,11.103333333333333,127616.77120999999,2.4072453635374784,11.756787077070944
LUX,2017,Luxembourg,9.84,131628.76794,2.286455711064162,11.787740875351338
LUX,2018,Luxembourg,9.483333333333333,137782.34819,2.24953587190423,11.833430532041584
LUX,2019,Luxembourg,7.986666666666667,139407.93908,2.077773484579139,11.845159727480269
LVA,2010,Latvia,21.49,126454.16931,3.067587710654419,11.747635223559291
LVA,2013,Latvia,14.100000000000001,111250.85188,2.6461747973841225,11.619542857347485
LVA,2014,Latvia,16.716,141532.46328999999,2.816366344585669,11.860284392296272
LVA,2015,Latvia,16.195,133094.30129,2.7847025526232927,11.798813188214913
LVA,2016,Latvia,13.797999999999998,119479.77778,2.6245236541239167,11.690902412435447
LVA,2017,Latvia,12.712,109526.26586,2.542546429234415,11.603919670341856
LVA,2018,Latvia,14.168000000000001,134266.80515,2.6509859004805323,11.807584182563067
LVA,2019,Latvia,11.434000000000001,121063.40523,2.4365913728417796,11.704069697498785
MLT,2010,Malta,14.983333333333333,54879.26531,2.7069384722495196,10.912890875101702
MLT,2013,Malta,13.209999999999999,49845.69356,2.580974118534234,10.816687383694438
MLT,2014,Malta,12.12,50446.08531,2.4948569806411682,10.828660427330043
MLT,2015,Malta,13.3125,46120.39045,2.588703443469644,10.73901044030553
MLT,2016,Malta,11.8725,45366.71443,2.47422480144114,10.722533952799695
MLT,2017,Malta,11.64,52545.94554,2.454447442303292,10.869443218999338
MLT,2018,Malta,12.08125,53785.29015,2.491654663974504,10.89275529147831
MLT,2019,Malta,11.8,55935.23231,2.468099531471619,10.931949734485958
NLD,2010,Netherlands,16.920526315789473,2687955.76953,2.828527459828421,14.80429152570185
NLD,2013,Netherlands,14.3271875,2452128.43934,2.6621589560036543,14.712466956126411
NLD,2014,Netherlands,13.5278125,2355120.37469,2.604747751358299,14.6721023986444
NLD,2015,Netherlands,12.5436,2430149.85401,2.529210575344525,14.703463481732191
NLD,2016,Netherlands,10.841612903225805,2435146.6218,2.3833917767535953,14.7055175269776
NLD,2017,Netherlands,11.092058823529412,2396808.01436,2.406229430978688,14.68964841607448
NLD,2018,Netherlands,12.340625,2336056.83201,2.5128966654928773,14.663974951405718
NLD,2019,Netherlands,10.91125,2272529.22259,2.3897943670674224,14.636403964176614
NOR,2010,Norway,10.549999999999999,470078.46583,2.3561258599220753,13.060654908326347
