country,year,pm25,iso3,total_emissions_kt,ln_pm25,ln_total_emissions_kt
Russian Federation,2016,14.0,RUS,1418657.76,2.6390573296152584,14.165221743120311
Slovakia,2010,21.6535,SVK,40553.89,3.075167104200026,10.610386985891925
Slovakia,2014,19.21333333333333,SVK,34907.75,2.9556044824632117,10.46046414657542
Slovakia,2015,18.6575,SVK,35113.75,2.9262482100234055,10.466348070636439
Slovakia,2016,14.9125,SVK,35489.6,2.7021997874240347,10.476994974796526
Slovakia,2017,19.038888888888888,SVK,36694.59,2.9464836709843985,10.510384611732386
Slovakia,2018,18.11740740740741,SVK,37525.0,2.8968732113166467,10.532762656501662
Slovakia,2019,15.594074074074074,SVK,34440.93,2.7468909750411945,10.4470009616614
Slovenia,2010,18.69666666666667,SVN,12631.15,2.928345254852136,9.443921264247757
Slovenia,2013,17.143333333333334,SVN,13074.68,2.8416093711187154,9.478432814446245
Slovenia,2014,15.066666666666665,SVN,17435.15,2.7124847981700757,9.76624356245674
Slovenia,2015,17.643333333333334,SVN,17720.91,2.8703579972017867,9.782500577242285
Slovenia,2016,17.383333333333333,SVN,18746.76,2.855511892778672,9.838776216466917
Slovenia,2017,16.53,SVN,18819.9,2.805176911832933,9.842670099628974
Slovenia,2018,15.3675,SVN,18735.36,2.7322548897990275,9.838167926415473
Slovenia,2019,12.452499999999999,SVN,13860.01,2.5219214059653012,9.536762994244356
Spain,2010,9.866119402985074,ESP,310507.42,2.2891066052099394,12.645963077010562
Spain,2011,12.792222222222222,ESP,311071.32,2.5488373473493535,12.647777489629311
Spain,2012,12.597142857142858,ESP,306463.85,2.5334700308744784,12.632855082867327
Spain,2013,8.446447368421053,ESP,280190.48,2.1337459231910496,12.543224936576236
Spain,2014,8.469135802469136,ESP,279804.26,2.1364284730534466,12.541845566258445
Spain,2015,9.496781609195402,ESP,289064.89,2.25095296322884,12.574406474762808
Spain,2016,8.35840909090909,ESP,276861.91,2.123268108856751,12.531274141011544
Spain,2017,9.550217391304347,ESP,289396.86,2.256563917720921,12.575554243086104
Spain,2018,9.016129032258064,ESP,282765.69,2.1990150881100075,12.552373883154994
Spain,2019,8.96968085106383,ESP,264584.78,2.19385009584619,12.485917008222517
Sweden,2010,7.445555555555556,SWE,14087.65,2.00761728464886,9.5530538060287
Sweden,2013,6.3774999999999995,SWE,6017.48,1.8527761710338293,8.70242384601232
Sweden,2014,8.085,SWE,5804.53,2.0900104930290704,8.666393926168558
Sweden,2015,6.3853333333333335,SWE,7145.3,1.8540036938122533,8.8742100768863
Sweden,2016,5.863684210526316,SWE,8252.0,1.7687781109047847,9.018210874191142
Sweden,2017,5.022,SWE,13772.65,1.6138282607353933,9.530440020556394
Sweden,2018,6.572222222222222,SWE,16333.48,1.8828520130881763,9.700972267976175
Sweden,2019,5.623333333333333,SWE,12351.6,1.726924607889767,9.421540888320514
Switzerland,2011,14.577777777777776,CHE,50202.89,2.679498299173769,10.823827873743863
Switzerland,2012,12.733333333333333,CHE,49999.9,2.54422322694442,10.819776284408283
Switzerland,2013,14.046153846153846,CHE,51618.73,2.6423486106993312,10.851639870102844
Switzerland,2014,8.977777777777778,CHE,49264.36,2.1947523881908304,10.804956177704973
Switzerland,2015,11.447333333333335,CHE,46949.06,2.437756806223501,10.756818463136726
Switzerland,2016,10.223749999999999,CHE,47231.92,2.324713445067047,10.762825214191773
Switzerland,2017,11.481851851851852,CHE,46559.43,2.440767689019099,10.748484840062341
Switzerland,2018,11.253684210526316,CHE,45653.89,2.4206955604189133,10.728844095974242
Switzerland,2019,9.358064516129033,CHE,44704.05,2.236238486642212,10.707819380524208
Switzerland,2020,9.084821428571429,CHE,42363.06,2.2066050460216555,10.654032035066647
Ukraine,2018,22.82,UKR,364731.32,3.1276373444339294,12.806916251913895
Ukraine,2019,23.36,UKR,357449.86,3.151025157960026,12.786750379531751
United States of America,2010,9.746760563380281,USA,6307176.8,2.276934979892811,15.657198717597902
United States of America,2011,9.626428571428571,USA,6115978.54,2.264512292165809,15.626415337195635
United States of America,2012,9.296190476190477,USA,5884941.23,2.229604690023396,15.587907312220532
United States of America,2013,9.207230769230769,USA,6092439.67,2.219989128532792,15.622559162093529
United States of America,2014,8.784153846153847,USA,6129688.87,2.172949398975577,15.628654551322505
United States of America,2015,8.94076923076923,USA,6065495.12,2.1906216291940797,15.618126732642462
United States of America,2016,7.528125,USA,5763094.6,2.018646006821099,15.566985145345678
United States of America,2017,8.801333333333334,USA,5787628.43,2.1749032251584146,15.571233168059138
United States of America,2018,8.861343283582091,USA,5989701.89,2.1816983652674784,15.605552200906589
United States of America,2019,7.319298245614035,USA,5913871.79,1.9905144552920673,15.592811300092944
